TV_ID,CREATIVE_ID,PREVIOUS_CONTENT_ID,NEXT_CONTENT_ID,PREVIOUS_NETWORK_ID,NEXT_NETWORK_ID,AUDIENCES,TIMESTAMP
a2b75364,301772,EP000191483262,EP000191483262,Turner Network TV,Turner Network TV,ADB-3469623,1.47923E+12
a2b75364,301785,unknown,unknown,N/A,N/A,ADB-3469623,1.47923E+12
a2b75364,301785,unknown,unknown,N/A,N/A,ADB-3469623,1.48087E+12
a2b75364,301778,EP004971131984,EP004971131984,E!,E!,ADB-3469623,1.48087E+12
6943365,301778,EP019213280031,EP019213280031,Fox,Fox,"ADB-1788972,ADB-1788951",1.48046E+12
85533597,301778,EP019213280031,EP019213280031,Fox,Fox,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48046E+12
85533597,308122,unknown,unknown,N/A,N/A,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48046E+12
85533597,301783,unknown,EP015057881176,N/A,CBS,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48046E+12
85533597,308122,EP006819110325,EP006819110325,CBS,CBS,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48059E+12
85533597,308122,EP016118480956,EP016118480956,ABC,ABC,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48059E+12
85533597,308122,MV003408350000,MV003408350000,FX,FX,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.47846E+12
85533597,301783,unknown,unknown,N/A,N/A,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.47846E+12
85533597,308122,EP021854290023,EP021854290023,CBS,CBS,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48121E+12
85533597,301785,EP017392440065,EP017392440065,ABC,ABC,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48121E+12
85533597,308122,EP019213280031,EP019213280031,Fox,Fox,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48148E+12
85533597,308122,MV001263480000,MV001263480000,FX,FX,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48148E+12
85533597,301783,unknown,unknown,N/A,N/A,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48148E+12
85533597,308122,EP021854290023,EP021854290023,CBS,CBS,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48148E+12
85533597,308122,EP021854290023,EP021854290023,CBS,CBS,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.47864E+12
85533597,308122,EP003169780262,EP003169780262,USA Network,USA Network,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.47864E+12
85533597,308117,EP021838640013,EP021838640013,Fox,Fox,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48047E+12
64b4b474,308117,EP009311820068,EP009311820068,TBS,TBS,ADB-3469614,1.48047E+12
44c2b696,301778,EP000191483199,EP000191483199,ABC,ABC,ADB-3469603,1.48047E+12
44c2b696,308122,EP011117850362,EP011117850362,Food Network,Food Network,ADB-3469603,1.48047E+12
44c2b696,308122,EP017584510156,EP000000000000,Food Network,N/A,ADB-3469603,1.48047E+12
44c2b696,301785,EP005520800597,EP005520800597,Fox,Fox,ADB-3469603,1.48047E+12
44c2b696,301772,EP007473660526,EP000191483228,ABC,Turner Network TV,ADB-3469603,1.48047E+12
44c2b696,301778,MV000485190000,MV000613650000,BET,CMT,ADB-3469603,1.48047E+12
44c2b696,301784,EP000191483199,EP000191483199,ABC,ABC,ADB-3469603,1.48047E+12
44c2b696,301784,EP000191483199,EP000191483199,ABC,ABC,ADB-3469603,1.48047E+12
44c2b696,301784,EP011581240192,EP011581240192,ABC,ABC,ADB-3469603,1.47931E+12
44c2b696,308122,EP003670780115,EP003670780115,CBS,CBS,ADB-3469603,1.47931E+12
44c2b696,301778,EP019213280032,EP019213280032,Fox,Fox,ADB-3469603,1.47887E+12
44c2b696,308122,EP000191483231,EP000191483231,Turner Network TV,Turner Network TV,ADB-3469603,1.47887E+12
44c2b696,301772,unknown,EP000191483242,N/A,Turner Network TV,ADB-3469603,1.48036E+12
44c2b696,308122,EP019213280030,EP019213280030,Fox,Fox,ADB-3469603,1.48036E+12
44c2b696,301784,EP011581240192,EP011581240192,ABC,ABC,ADB-3469603,1.48036E+12
44c2b696,301772,EP000191483242,EP000191483242,Turner Network TV,Turner Network TV,ADB-3469603,1.48036E+12
44c2b696,301772,EP000191483231,EP000191483231,Turner Network TV,Turner Network TV,ADB-3469603,1.48046E+12
44c2b696,301778,EP000191483199,EP000191483199,ABC,ABC,ADB-3469603,1.48046E+12
44c2b696,301772,EP000191483229,EP000191483229,Turner Network TV,Turner Network TV,ADB-3469603,1.48046E+12
44c2b696,301784,MV000485190000,MV000613650000,BET,CMT,ADB-3469603,1.48046E+12
44c2b696,301772,EP000191483242,EP000191483242,Turner Network TV,Turner Network TV,ADB-3469603,1.47932E+12
a3638696,301772,EP005544654871,EP005544654871,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.47932E+12
a3638696,301772,unknown,SH011324270000,N/A,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.48026E+12
a3638696,301772,EP005544654871,EP005544654871,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.48026E+12
a3638696,301772,EP005544654871,EP005544654871,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.48095E+12
a3638696,301784,EP005520800595,EP005520800595,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.48095E+12
a3638696,301772,EP005544654871,EP005544654871,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.47914E+12
a3638696,308117,EP007399290331,EP007399290331,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.47914E+12
a3638696,301778,EP005520800596,EP005520800596,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.48043E+12
a3638696,308122,EP019213490036,EP019213490036,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.48043E+12
768377a7,308122,EP019152141895,EP019152141895,NBC,NBC,ADB-3469614,1.48043E+12
768377a7,301778,EP019152141896,EP019152141896,NBC,NBC,ADB-3469614,1.48043E+12
768377a7,301778,EP019152141902,unknown,NBC,N/A,ADB-3469614,1.48043E+12
768377a7,301778,EP019152141896,unknown,NBC,N/A,ADB-3469614,1.48043E+12
768377a7,308122,unknown,unknown,N/A,N/A,ADB-3469614,1.48043E+12
a3337645,308122,EP010783390210,EP010783390210,HGTV,HGTV,ADB-1788188,1.48043E+12
a3337645,301784,EP021838640009,EP021838640009,Fox,Fox,ADB-1788188,1.48043E+12
a3337645,301778,EP015223350705,EP015223350705,NBC,NBC,ADB-1788188,1.48043E+12
a3337645,301784,EP021838640009,EP021838640009,Fox,Fox,ADB-1788188,1.48043E+12
a3337645,301784,EP015223350697,EP015223350697,NBC,NBC,ADB-1788188,1.48043E+12
a3337645,301778,EP015223350699,EP015223350699,NBC,NBC,ADB-1788188,1.48043E+12
a3337645,301785,EP021837240006,EP021837240006,NBC,NBC,ADB-1788188,1.48043E+12
a3337645,301778,EP015223350697,EP015223350697,NBC,NBC,ADB-1788188,1.48024E+12
a3337645,301778,EP007473660528,EP007473660528,ABC,ABC,ADB-1788188,1.48024E+12
a3337645,308117,EP021838640013,EP021838640013,Fox,Fox,ADB-1788188,1.48055E+12
a3337645,308122,EP021838640009,EP021838640009,Fox,Fox,ADB-1788188,1.48055E+12
a3337645,301772,EP019223100046,EP019223100046,CBS,CBS,ADB-1788188,1.48036E+12
a3337645,308122,EP007322830303,EP007322830303,ABC,ABC,ADB-1788188,1.48036E+12
a3337645,301784,EP021838640009,EP021838640009,Fox,Fox,ADB-1788188,1.48159E+12
a3337645,301784,EP015223350705,EP015223350705,NBC,NBC,ADB-1788188,1.48159E+12
a3337645,301784,EP015223350699,EP015223350699,NBC,NBC,ADB-1788188,1.48045E+12
e4c724f7,308122,EP009311820216,EP009311820216,CBS,CBS,"ADB-3469623,ADB-1788177,ADB-3469626,ADB-3469612,ADB-1788972,ADB-3469625,ADB-1788188,ADB-3469624,ADB-3469628,ADB-3469634,ADB-3469614",1.48045E+12
e4c724f7,301783,EP015418440677,EP000195390439,Fox,Fox Sports,"ADB-3469623,ADB-1788177,ADB-3469626,ADB-3469612,ADB-1788972,ADB-3469625,ADB-1788188,ADB-3469624,ADB-3469628,ADB-3469634,ADB-3469614",1.48138E+12
93473756,308117,EP009311820203,EP009311820203,CBS,CBS,"ADB-1788951,ADB-1788949",1.48138E+12
93473756,308122,EP009311820140,EP009311820140,TBS,TBS,"ADB-1788951,ADB-1788949",1.48105E+12
94f764c5,301772,EP000191483228,EP000191483228,Turner Network TV,Turner Network TV,"ADB-1788951,ADB-1788188",1.48105E+12
46359476,301778,unknown,unknown,N/A,N/A,ADB-3469628,1.47975E+12
46359476,308122,EP019213280030,EP019213280030,N/A,N/A,ADB-3469628,1.47975E+12
46359476,301784,unknown,unknown,N/A,N/A,ADB-3469628,1.47841E+12
46359476,301778,EP019213280031,EP019213280031,N/A,N/A,ADB-3469628,1.47841E+12
a6b45503,301772,unknown,EP000191483228,N/A,Turner Network TV,ADB-1788177,1.48096E+12
a6b45503,301772,EP000191483228,EP000195595547,Turner Network TV,NBCSN,ADB-1788177,1.48096E+12
a6b45503,301783,SH000199170000,unknown,ESPN,N/A,ADB-1788177,1.48045E+12
a6b45503,301783,EP000195595527,EP000195595548,USA Network,NBCSN,ADB-1788177,1.48045E+12
a6b45503,308122,EP006819110124,EP006819110124,USA Network,USA Network,ADB-1788177,1.47967E+12
34d32427,308117,EP017899670105,EP017899670105,Food Network,Food Network,ADB-1788188,1.47967E+12
34d32427,308122,EP017899670105,EP017899670105,Food Network,Food Network,ADB-1788188,1.48E+12
66a61586,301783,unknown,unknown,N/A,N/A,"ADB-1788188,ADB-1788966,ADB-1788951",1.48E+12
66a61586,301783,MV001762310000,MV001762310000,CMT,CMT,"ADB-1788188,ADB-1788966,ADB-1788951",1.47967E+12
66a61586,301783,unknown,unknown,N/A,N/A,"ADB-1788188,ADB-1788966,ADB-1788951",1.47967E+12
66a61586,308122,EP009311820217,EP009311820217,CBS,CBS,"ADB-1788188,ADB-1788966,ADB-1788951",1.47979E+12
66a61586,301783,MV000369880000,MV000369880000,CMT,CMT,"ADB-1788188,ADB-1788966,ADB-1788951",1.47979E+12
66a61586,301778,EP010783390211,EP010783390211,HGTV,HGTV,"ADB-1788188,ADB-1788966,ADB-1788951",1.48045E+12
66a61586,301783,unknown,unknown,N/A,N/A,"ADB-1788188,ADB-1788966,ADB-1788951",1.48045E+12
66a61586,308122,EP009311820033,EP009311820033,TBS,TBS,"ADB-1788188,ADB-1788966,ADB-1788951",1.47994E+12
66a61586,308122,EP017211070520,EP017211070520,NBC,NBC,"ADB-1788188,ADB-1788966,ADB-1788951",1.47994E+12
66a61586,301783,unknown,unknown,N/A,N/A,"ADB-1788188,ADB-1788966,ADB-1788951",1.4802E+12
66a61586,301783,EP020674310014,EP020674310014,NBC,NBC,"ADB-1788188,ADB-1788966,ADB-1788951",1.4802E+12
66a61586,301778,EP009311820035,EP009311820035,TBS,TBS,"ADB-1788188,ADB-1788966,ADB-1788951",1.47957E+12
66a61586,301783,EP013657560267,EP013657560267,NBC,NBC,"ADB-1788188,ADB-1788966,ADB-1788951",1.47957E+12
66a61586,301778,EP009311820100,EP009311820100,TBS,TBS,"ADB-1788188,ADB-1788966,ADB-1788951",1.48167E+12
66a61586,301783,EP014195810042,EP014195810042,CMT,CMT,"ADB-1788188,ADB-1788966,ADB-1788951",1.48167E+12
66a61586,301783,EP014195810048,EP014195810048,CMT,CMT,"ADB-1788188,ADB-1788966,ADB-1788951",1.47908E+12
b65312f5,301784,unknown,unknown,N/A,N/A,ADB-1788188,1.47908E+12
b65312f5,301778,unknown,unknown,N/A,N/A,ADB-1788188,1.48035E+12
5514e5a5,301783,unknown,unknown,N/A,N/A,ADB-1788188,1.48035E+12
5514e5a5,301778,unknown,EP000037101002,N/A,NBC,ADB-1788188,1.47967E+12
5514e5a5,301783,unknown,EP000037101002,N/A,NBC,ADB-1788188,1.47967E+12
5514e5a5,308122,EP017219650043,EP017219650043,Discovery Channel,Discovery Channel,ADB-1788188,1.48098E+12
5514e5a5,308122,EP015040440075,EP015040440075,Discovery Channel,Discovery Channel,ADB-1788188,1.48098E+12
5514e5a5,308122,EP015040440075,EP015040440075,Discovery Channel,Discovery Channel,ADB-1788188,1.47951E+12
33645466,301784,EP015223350705,EP015223350705,NBC,NBC,ADB-1788177,1.47951E+12
33645466,301784,EP013657560264,EP013657560264,NBC,NBC,ADB-1788177,1.48047E+12
33645466,301778,EP015223350705,EP015223350705,NBC,NBC,ADB-1788177,1.48047E+12
33645466,308117,EP013657560268,EP013657560268,NBC,NBC,ADB-1788177,1.48159E+12
33645466,301778,EP010364780118,EP013657560270,Fox News,NBC,ADB-1788177,1.48159E+12
33645466,308117,EP017386900065,EP017386900065,NBC,NBC,ADB-1788177,1.48045E+12
6554f614,301784,EP019152141849,EP019152141849,NBC,NBC,"ADB-1788188,ADB-1788966",1.48045E+12
6554f614,308122,EP013657560269,EP013657560269,NBC,NBC,"ADB-1788188,ADB-1788966",1.47846E+12
6554f614,308122,EP019152141911,unknown,NBC,N/A,"ADB-1788188,ADB-1788966",1.47846E+12
6554f614,308117,EP000018937461,EP000018937461,ABC,ABC,"ADB-1788188,ADB-1788966",1.47847E+12
6554f614,308122,unknown,EP019062760129,N/A,CBS,"ADB-1788188,ADB-1788966",1.47847E+12
6554f614,308122,EP017211070524,EP017211070524,NBC,NBC,"ADB-1788188,ADB-1788966",1.47931E+12
74670394,301785,EP019152141904,EP019152141904,NBC,NBC,ADB-1788951,1.47931E+12
74670394,301778,EP019152141902,EP019152141902,NBC,NBC,ADB-1788951,1.48109E+12
f3254783,301778,EP013657560270,EP013657560270,NBC,NBC,ADB-1788177,1.48109E+12
f3254783,308122,EP017386900066,EP017386900066,NBC,NBC,ADB-1788177,1.48128E+12
f3254783,301778,EP017386900066,EP017386900066,NBC,NBC,ADB-1788177,1.48128E+12
f3254783,308117,EP013657560268,EP013657560268,NBC,NBC,ADB-1788177,1.48035E+12
b6574466,301778,unknown,unknown,N/A,N/A,ADB-1788188,1.48035E+12
b6574466,301778,EP003267331571,EP003267331571,HGTV,HGTV,ADB-1788188,1.48139E+12
b6574466,301784,unknown,MV003324470000,N/A,Lifetime Movie Network,ADB-1788188,1.48139E+12
b6574466,308122,EP018338620039,EP018338620039,E!,E!,ADB-1788188,1.48167E+12
b6574466,301778,unknown,MV003324470000,N/A,Lifetime Movie Network,ADB-1788188,1.48167E+12
b6574466,301784,EP004971131988,EP004971131988,E!,E!,ADB-1788188,1.48104E+12
b6574466,308122,EP020820940008,EP020820940008,HGTV,HGTV,ADB-1788188,1.48104E+12
04a71777,301784,EP011594940238,EP011594940238,History,History,ADB-1788188,1.48036E+12
04a71777,301785,EP011594940275,EP011594940275,History,History,ADB-1788188,1.48036E+12
4547a663,301778,MV002725490000,MV002725490000,FX,FX,ADB-3469610,1.4788E+12
4547a663,308122,MV002725490000,MV002725490000,FX,FX,ADB-3469610,1.4788E+12
37457304,301783,unknown,unknown,N/A,N/A,ADB-1788188,1.47907E+12
37457304,308117,EP012124070081,EP012124070081,History,History,ADB-1788188,1.47907E+12
37457304,301778,EP015223350696,EP015223350696,NBC,NBC,ADB-1788188,1.47882E+12
37457304,308122,EP015899250023,EP015899250023,History,History,ADB-1788188,1.47882E+12
37457304,308122,unknown,unknown,N/A,N/A,ADB-1788188,1.48112E+12
37457304,308122,unknown,unknown,N/A,N/A,ADB-1788188,1.48112E+12
37457304,301784,EP015223350696,EP015223350696,NBC,NBC,ADB-1788188,1.48046E+12
37457304,301784,EP012124070013,EP012124070013,History,History,ADB-1788188,1.48046E+12
37457304,301783,EP019223320046,EP019223320046,CBS,CBS,ADB-1788188,1.48052E+12
27559726,301778,EP021861420012,EP021861420012,The CW,The CW,"ADB-1788188,ADB-1788963",1.48052E+12
27559726,308117,EP014194780116,EP014194780116,N/A,N/A,"ADB-1788188,ADB-1788963",1.47827E+12
27559726,308122,EP000018937478,EP000018937478,N/A,N/A,"ADB-1788188,ADB-1788963",1.47827E+12
23931636,301784,EP011581240192,EP019218450045,ABC,ABC,"ADB-1788188,ADB-1788966",1.48048E+12
23931636,301772,EP000191483228,EP000191483228,Turner Network TV,Turner Network TV,"ADB-1788188,ADB-1788966",1.48048E+12
23931636,301772,EP000191483228,EP000191483228,Turner Network TV,Turner Network TV,"ADB-1788188,ADB-1788966",1.48048E+12
e386e6e5,308122,EP023803580003,EP023803580003,Velocity,Velocity,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614",1.48048E+12
e386e6e5,308117,EP023803580002,EP023803580002,Velocity,Velocity,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614",1.48048E+12
b4763772,308122,EP007322830303,EP007322830303,ABC,ABC,ADB-3469628,1.48048E+12
b4763772,308122,EP007322830303,EP007322830303,ABC,ABC,ADB-3469628,1.48048E+12
85573424,301785,EP019152141904,EP019152141904,NBC,NBC,ADB-3469623,1.48048E+12
85573424,308122,EP019152141911,unknown,NBC,N/A,ADB-3469623,1.48047E+12
85573424,301778,MV003408350000,MV003408350000,FX,FX,ADB-3469623,1.48047E+12
85573424,308122,EP009311820216,EP009311820216,CBS,CBS,ADB-3469623,1.48047E+12
85573424,301778,EP019152141851,unknown,NBC,N/A,ADB-3469623,1.48047E+12
85573424,308122,MV003576810000,MV003576810000,N/A,N/A,ADB-3469623,1.47954E+12
85573424,308122,EP019152141908,EP019152141908,NBC,NBC,ADB-3469623,1.47954E+12
85573424,301778,EP019152141896,EP019152141896,NBC,NBC,ADB-3469623,1.48165E+12
85573424,301778,EP019152141898,unknown,NBC,N/A,ADB-3469623,1.48165E+12
85573424,308122,EP010783390210,EP010783390210,HGTV,HGTV,ADB-3469623,1.4789E+12
94870334,301778,EP016164380038,EP016164380038,A&E,A&E,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614",1.4789E+12
94870334,301784,EP000018937475,EP000018937475,ABC,ABC,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614",1.4814E+12
94870334,308122,EP016164380039,EP016164380039,A&E,A&E,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614",1.4814E+12
94870334,301783,unknown,unknown,N/A,N/A,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614",1.4814E+12
958486a5,308117,EP014194780116,EP014194780116,ABC,ABC,"ADB-3469628,ADB-1788951,ADB-1788188",1.4814E+12
958486a5,301772,EP005544654874,EP005544654874,Fox,Fox,"ADB-3469628,ADB-1788951,ADB-1788188",1.48045E+12
958486a5,301778,unknown,unknown,N/A,N/A,"ADB-3469628,ADB-1788951,ADB-1788188",1.48045E+12
87855674,308117,EP007399290331,EP007399290331,Fox,Fox,"ADB-3469634,ADB-3469619",1.48045E+12
87855674,301783,unknown,EP023073620287,N/A,MSNBC,"ADB-3469634,ADB-3469619",1.48045E+12
87855674,301784,EP013657560264,EP013657560264,NBC,NBC,"ADB-3469634,ADB-3469619",1.48125E+12
87855674,308122,EP003670780115,EP003670780115,CBS,CBS,"ADB-3469634,ADB-3469619",1.48125E+12
87855674,308117,unknown,unknown,N/A,N/A,"ADB-3469634,ADB-3469619",1.48087E+12
87855674,308117,EP000018937479,SH024105120000,ABC,The CW,"ADB-3469634,ADB-3469619",1.48087E+12
87855674,308117,EP007322830301,EP007322830301,ABC,ABC,"ADB-3469634,ADB-3469619",1.48045E+12
87855674,308122,unknown,unknown,N/A,N/A,"ADB-3469634,ADB-3469619",1.48045E+12
17374425,308122,EP019152141897,unknown,NBC,N/A,ADB-1788177,1.47848E+12
17374425,308122,EP019152141894,EP019152141894,NBC,NBC,ADB-1788177,1.47848E+12
17374425,301784,EP019152141850,EP019152141850,NBC,NBC,ADB-1788177,1.48057E+12
17374425,308122,EP019152141903,EP019152141903,NBC,NBC,ADB-1788177,1.48057E+12
17374425,308122,EP017386900066,EP017386900066,NBC,NBC,ADB-1788177,1.48072E+12
6.56E+12,301784,EP011581240192,EP011581240192,ABC,ABC,"ADB-1788951,ADB-1788972",1.48072E+12
6.56E+12,308117,EP007322830301,EP007322830301,ABC,ABC,"ADB-1788951,ADB-1788972",1.48034E+12
6.56E+12,308117,EP007473660523,EP007473660523,ABC,ABC,"ADB-1788951,ADB-1788972",1.48034E+12
6.56E+12,301778,EP015683360083,EP015683360083,ABC,ABC,"ADB-1788951,ADB-1788972",1.48127E+12
6.56E+12,308122,EP000018937474,EP000018937474,ABC,ABC,"ADB-1788951,ADB-1788972",1.48127E+12
6.56E+12,308117,EP017396170067,EP017396170067,ABC,ABC,"ADB-1788951,ADB-1788972",1.47852E+12
6.56E+12,308122,EP007473660528,EP007473660528,ABC,ABC,"ADB-1788951,ADB-1788972",1.47852E+12
55449334,308122,SH008776990000,unknown,ABC,N/A,ADB-1788177,1.48099E+12
55449334,301783,EP000018937462,unknown,ABC,N/A,ADB-1788177,1.48099E+12
55449334,308117,EP007473660523,EP007473660523,ABC,ABC,ADB-1788177,1.48046E+12
1674a427,301784,EP019152141850,EP019152141850,NBC,NBC,"ADB-3469623,ADB-3469612,ADB-3469624,ADB-3469634,ADB-3469614",1.48046E+12
